Name,EloRating,match_number
Daniel Alejandro Lopez Cassaccia,1565,92
Patrick Taubert,1564,87
Henrique Cunha,1564,26
Fabrice Martin,1564,84
Nicolas Renavand,1564,85
Yan Bai,1564,49
Sergei Krotiouk,1563,112
Joshua Goodall,1563,64
Dejan Katic,1563,35
Nenad Zimonjic,1563,9
Abdullah Maqdas,1563,5
Pablo Martin Adalia,1562,120
Alexandre Renard,1562,70
Carles Poch Gradin,1562,78
Toshihide Matsui,1562,69
Adriano Biasella,1562,46
Dimitar Kutrovsky,1562,7
Cedrik Marcel Stebe,1561,53
Antal Van Der Duim,1561,60
Roberto Marcora,1561,11
Florin Mergea,1561,23
Lado Chikhladze,1561,22
Fritz Wolmarans,1560,25
Johan Ortegren,1560,13
George Bastl,1560,95
Roberto Maytin,1560,31
Javier Marti,1560,68
Dominic Inglot,1560,16
Marcus Willis,1560,57
Federico Torresi,1559,95
Jeremy Blandin,1559,79
Dayne Kelly,1558,82
Tasuku Iwami,1558,95
Todor Enev,1558,54
Mehdi Ziadi,1558,46
Alejandro Kon,1557,119
Hsin Han Lee,1557,74
Conor Pollock,1556,27
Eduardo Struvay,1556,51
Marek Michalicka,1556,24
Holden Seguso,1556,9
Fernando Vicente,1556,91
Gilles De Sousa,1556,46
Harsh Mankad,1556,34
Mikhail Vasiliev,1556,126
Axel Michon,1556,47
Vladimir Karusevich,1556,33
Nicolas Jara Lozano,1555,105
Uros Vico,1555,23
Byung Kook Kang,1555,39
Federico Sansonetti,1555,87
Filip Polasek,1555,9
Miloslav Mecir,1554,98
Dmytro Petrov,1554,37
Mauricio Estivariz,1553,43
Hector Ruiz Cadenas,1553,33
Luka Belic,1553,46
Erling Tveit,1553,58
Julien Obry,1553,24
Denis Kudla,1552,16
Amir Hadad,1552,21
Raian Luchici,1552,51
Yann Marti,1552,41
Matt Reid,1552,57
Facundo Arguello,1552,33
Evgeny Donskoy,1551,53
Kepler Orellana,1551,4
Chris Eaton,1550,96
Guillermo Duran,1550,77
David Skoch,1550,6
Ken Skupski,1550,47
Luca Vanni,1550,104
